<head/><TITLE>ATG rooftop data for 22 April 2015</TITLE>
<H2>ATG rooftop data for 22 April 2015</H2>

THIS DATA IS SUBJECT TO ERRORS.

All times are <a href=/utc.html>UTC</a>.
<p>
<PRE>
			Wind 
  Time	  RHum 	 Temp	Direct	Speed	Gust	Rain	Radiation    Pres
	   (%)    (F)           (knot)  (knot) (inch)   (Watts m-2) (mbar)

00:00:31    64     53       0       6      7    0.00        13.73   1015.5
00:01:31    64     53     333       7     10    0.00        13.20   1015.6
00:02:31    64     53     352       5      9    0.00        12.55   1015.6
00:03:31    64     53       0      10     12    0.00        11.92   1015.6
00:04:31    64     53     333       4      7    0.00        11.41   1015.6
00:05:31    64     53     355       5      9    0.00        11.71   1015.6
00:06:31    64     53     354       8     11    0.00        12.96   1015.6
00:07:31    64     53       2       7      9    0.00        14.27   1015.6
00:08:31    64     53       7       7     11    0.00        15.82   1015.7
00:09:31    64     53     352       7     10    0.00        17.47   1015.7
00:10:31    64     53     351       5      8    0.00        18.75   1015.7
00:11:31    64     52      15       7      9    0.00        19.42   1015.7
00:12:31    64     52      27       6      7    0.00        19.25   1015.7
00:13:31    64     52     353       5      7    0.00        18.75   1015.7
00:14:31    64     52      14       7     12    0.00        18.25   1015.7
00:15:31    64     52       9       6      7    0.00        17.84   1015.7
00:16:31    64     52     339       8      9    0.00        17.57   1015.7
00:17:31    64     52     357       6      7    0.00        17.44   1015.8
00:18:31    65     52       4       5      8    0.00        17.00   1015.8
00:19:31    65     52     339       4      5    0.00        16.66   1015.8
00:20:31    65     52       7       5      6    0.00        16.29   1015.8
00:21:31    65     52     358       4      8    0.00        15.86   1015.8
00:22:31    65     52      11       5      8    0.00        14.85   1015.8
00:23:31    65     52      17       5      7    0.00        13.50   1015.9
00:24:31    66     52     333       2      4    0.00        13.03   1015.9
00:25:31    65     52     345       5      7    0.00        14.04   1015.9
00:26:31    65     52      29       3      4    0.00        15.65   1015.9
00:27:31    65     52      21       5      9    0.00        16.77   1015.9
00:28:31    65     52      18       7      8    0.00        18.11   1015.9
00:29:31    66     52     348       8     12    0.00        19.12   1015.9
00:30:31    66     51     346       9     11    0.00        19.22   1015.9
00:31:31    67     51       4      11     13    0.00        19.29   1015.9
00:32:31    67     51     353      12     14    0.00        18.58   1016.0
00:33:31    67     51     350      10     12    0.00        17.71   1016.0
00:34:31    68     51     348       9     12    0.00        17.81   1016.0
00:35:31    68     51       0      11     13    0.00        18.65   1016.0
00:36:31    68     51     355       6      9    0.00        19.90   1016.1
00:37:31    69     51       2       9     10    0.00        20.40   1016.1
00:38:31    68     51       9       8     11    0.00        19.76   1016.1
00:39:31    69     51     353       7      8    0.00        18.92   1016.1
00:40:31    69     51     349       8     10    0.00        17.81   1016.2
00:41:31    69     50     341       8     12    0.00        16.26   1016.2
00:42:31    70     50     331       7      9    0.00        14.88   1016.2
00:43:31    70     50       9       8     12    0.00        13.80   1016.2
00:44:31    70     50       2       6      7    0.00        12.86   1016.3
00:45:31    70     50     341       3      5    0.00        11.82   1016.3
00:46:31    71     50       4       4      6    0.00        11.01   1016.4
00:47:31    71     51     354       4      5    0.00        10.44   1016.4
00:48:31    71     51     352       5      6    0.00         9.93   1016.4
00:49:31    70     51       2       9     12    0.00         9.26   1016.4
00:50:31    70     50      11       6      9    0.00         8.79   1016.5
00:51:31    71     50      13       4      7    0.00         8.48   1016.5
00:52:31    72     50       1       4      5    0.00         8.32   1016.5
00:53:31    72     50      11       4      6    0.00         8.08   1016.5
00:54:31    71     50     347       8     10    0.00         7.88   1016.5
00:55:31    71     50     351      11     13    0.00         7.81   1016.5
00:56:31    72     50     359       9     11    0.00         8.25   1016.5
00:57:31    73     50     354       8     11    0.00         9.02   1016.5
00:58:31    74     49     348       6      7    0.00        10.10   1016.5
00:59:31    74     49     349       5      6    0.00        11.25   1016.6
01:00:31    74     49     358       7      9    0.00        12.90   1016.5
01:01:31    75     49     343       7     10    0.00        14.41   1016.5
01:02:31    76     49     345       5      7    0.00        15.96   1016.5
01:03:31    76     49     355       4      7    0.00        16.94   1016.5
01:04:31    77     49     360       2      3    0.00        17.68   1016.5
01:05:31    76     49      28       4      5    0.00        17.27   1016.6
01:06:31    77     49       7       2      5    0.00        16.13   1016.6
01:07:31    77     49     358       0      0    0.00        14.85   1016.6
01:08:31    77     49      26       2      5    0.00        14.14   1016.6
01:09:31    77     49       5       5      5    0.00        12.90   1016.6
01:10:31    77     49     336       4      4    0.00        11.42   1016.7
01:11:31    77     49     356       2      4    0.00        10.47   1016.7
01:12:31    78     49       2       5      6    0.00        10.10   1016.8
01:13:31    78     49      15       2      5    0.00         9.97   1016.8
01:14:31    78     49     357       1      3    0.00        10.30   1016.8
01:15:31    78     49      27       6      9    0.00        10.81   1016.8
01:16:31    78     48       2       7     10    0.00        11.42   1016.9
01:17:31    79     48      14       5      6    0.00        12.19   1016.9
01:18:31    78     48      20       7      9    0.00        12.16   1016.9
01:19:31    79     48       9       6      8    0.00        11.52   1016.9
01:20:31    79     48       7       5      6    0.00        11.31   1016.9
01:21:31    79     48      24       5      7    0.00        11.31   1016.9
01:22:31    79     48      24       8     10    0.00        11.08   1016.8
01:23:31    80     48      12       5      7    0.00        10.71   1016.8
01:24:31    80     48      25       4      6    0.00        11.08   1016.8
01:25:31    80     48      17       5      7    0.00        11.42   1016.8
01:26:31    80     48      11       7      8    0.00        11.48   1016.8
01:27:31    80     48     359       4      6    0.00        11.38   1016.8
01:28:31    81     48      30       5      8    0.00        11.42   1016.8
01:29:31    81     48      20       6      8    0.00        12.39   1016.8
01:30:31    81     48      25       8      9    0.00        13.54   1016.8
01:31:31    81     48       6       6      9    0.00        13.40   1016.8
01:32:31    82     48     355       4      5    0.00        12.43   1016.9
01:33:31    82     48     357       3      4    0.00        11.25   1016.9
01:34:31    82     48      28       5      7    0.00        10.57   1016.9
01:35:31    81     48       2       7     10    0.00         9.60   1016.9
01:36:31    82     48       9       4      5    0.00         8.99   1016.9
01:37:31    81     48     358       3      4    0.00         8.39   1016.9
01:38:31    82     48      28       3      4    0.00         8.49   1016.9
01:39:31    82     48     334       2      3    0.00         8.52   1016.9
01:40:31    82     48      15       2      4    0.00         8.12   1016.9
01:41:31    81     48      48       5      7    0.00         7.24   1016.9
01:42:31    81     48      64       5      5    0.00         6.50   1016.9
01:43:31    82     48       6       5      7    0.00         5.69   1017.0
01:44:31    82     48      15       1      1    0.00         5.05   1017.0
01:45:31    82     48      16       2      4    0.00         5.05   1017.0
01:46:31    82     48      23       2      3    0.00         5.12   1017.0
01:47:31    83     48      76       2      3    0.00         5.12   1017.0
01:48:31    82     48      55       4      5    0.00         5.05   1017.0
01:49:31    82     48      61       5      8    0.00         4.85   1017.0
01:50:31    82     48      52       4      6    0.00         4.48   1017.0
01:51:31    82     48      59       4      5    0.00         4.28   1017.0
01:52:31    82     48      49       7      8    0.00         4.34   1017.0
01:53:31    82     47      61       8      9    0.00         4.31   1017.0
01:54:31    82     47      53       5      6    0.00         4.04   1016.9
01:55:31    83     47      71       4      5    0.00         3.74   1017.0
01:56:31    83     47      48       8     10    0.00         3.44   1017.0
01:57:31    82     47      54       8      9    0.00         3.44   1017.0
01:58:31    82     47      41       6      7    0.00         3.37   1017.0
01:59:31    83     47      47       2      3    0.00         2.93   1017.1
02:00:31    83     47      56       3      7    0.00         2.53   1017.1
02:01:31    83     47      48       5      6    0.00         2.46   1017.1
02:02:31    83     48      58       5      6    0.00         2.49   1017.2
02:03:31    83     48      45       3      4    0.00         2.43   1017.2
02:04:31    83     48      33       3      4    0.00         2.46   1017.2
02:05:31    82     48      43       3      4    0.00         2.49   1017.2
02:06:31    83     48      24       4      6    0.00         2.43   1017.2
02:07:31    82     48      23       8     11    0.00         2.43   1017.2
02:08:31    82     47      13       3      7    0.00         2.43   1017.2
02:09:31    82     48      52       3      5    0.00         2.43   1017.2
02:10:31    82     48      47       8     10    0.00         2.02   1017.1
02:11:31    81     47      43       8     10    0.00         1.82   1017.1
