<head/><TITLE>ATG rooftop data for 21 April 2015</TITLE>
<H2>ATG rooftop data for 21 April 2015</H2>

THIS DATA IS SUBJECT TO ERRORS.

All times are <a href=/utc.html>UTC</a>.
<p>
<PRE>
			Wind 
  Time	  RHum 	 Temp	Direct	Speed	Gust	Rain	Radiation    Pres
	   (%)    (F)           (knot)  (knot) (inch)   (Watts m-2) (mbar)

00:00:30    24     73     276       9      9    0.00       377.75   1010.6
00:01:30    24     73     288       9     10    0.00       375.20   1010.6
00:02:30    25     73     291       3      5    0.00       372.47   1010.6
00:03:30    25     73     285       5      6    0.00       369.41   1010.6
00:04:30    25     73     301       5      7    0.00       366.69   1010.6
00:05:30    25     73     315       8     10    0.00       364.24   1010.6
00:06:30    25     73     317       4      5    0.00       362.15   1010.6
00:07:30    25     73     332       5      7    0.00       358.69   1010.6
00:08:30    25     73     336       5      8    0.00       355.83   1010.6
00:09:30    24     73     313       8      9    0.00       352.87   1010.5
00:10:30    24     72     279       4      6    0.00       350.92   1010.6
00:11:30    24     72     305       8     10    0.00       347.69   1010.6
00:12:30    24     72     290       9      9    0.00       345.30   1010.6
00:13:30    24     72     301       9      9    0.00       343.28   1010.5
00:14:30    24     72     286       8     10    0.00       341.43   1010.5
00:15:30    24     72     290       7      7    0.00       339.01    
00:16:30    25     72     293       8     10    0.00       336.76   1010.5
00:17:30    25     72     272       8      9    0.00       335.38   1010.5
00:18:30    24     73     290       8     10    0.00       332.89   1010.5
00:19:30    24     73     291       9     11    0.00       330.44   1010.5
00:20:30    24     73     288       7      9    0.00       328.38   1010.5
00:21:30    24     73     294       7      9    0.00       326.84   1010.5
00:22:30    24     73     272       7      9    0.00       324.75   1010.5
00:23:30    25     73     296       7      8    0.00       322.13   1010.5
00:24:30    25     73     297       5      7    0.00       319.71   1010.5
00:25:30    24     73     285       6      9    0.00       317.52   1010.4
00:26:30    24     73     286       9     10    0.00       314.83   1010.4
00:27:30    24     73     284       8      9    0.00       312.75   1010.4
00:28:30    24     73     285       8      9    0.00       310.39   1010.4
00:29:30    24     73     283       7      8    0.00       307.13   1010.4
00:30:30    24     73     295       6      7    0.00       304.24   1010.4
00:31:30    25     73     310       5      8    0.00       301.92   1010.5
00:32:30    24     73     281       8     11    0.00       299.73   1010.4
00:33:30    24     73     288       9     11    0.00       297.28   1010.4
00:34:30    25     73     286       9     10    0.00       295.19   1010.4
00:35:30    25     73     283       8     10    0.00       293.04   1010.4
00:36:30    25     72     287      10     11    0.00       291.19   1010.5
00:37:30    25     72     278       9     11    0.00       288.74   1010.5
00:38:30    25     72     286       6      8    0.00       286.21   1010.5
00:39:30    25     72     299       6      9    0.00       276.96   1010.5
00:40:30    24     72     297       9      9    0.00       214.47   1010.5
00:41:30    24     72     279       8      9    0.00       119.83   1010.5
00:42:30    25     72     277       9     10    0.00        63.46   1010.5
00:43:30    25     72     271       7      8    0.00        54.95   1010.5
00:44:30    25     72     295       6      8    0.00        52.67   1010.5
00:45:30    25     72     322       6      8    0.00        50.85   1010.5
00:46:30    25     72     318       6      7    0.00        49.54   1010.5
00:47:30    25     72     309       5      6    0.00        48.47   1010.5
00:48:30    25     72     299       7      7    0.00        47.42   1010.5
00:49:30    25     72     290       7      7    0.00        46.95   1010.5
00:50:30    25     72     316       7      8    0.00        46.58   1010.5
00:51:30    25     72     301       6      8    0.00        46.08   1010.4
00:52:30    25     72     302       6      7    0.00        45.67   1010.4
00:53:30    24     72     300       8      9    0.00        45.07   1010.4
00:54:30    25     72     302       5      6    0.00        44.63   1010.4
00:55:30    25     72     307       6      7    0.00        44.02   1010.4
00:56:30    25     72     299       6      7    0.00        43.59   1010.4
00:57:30    25     72     287       8      9    0.00        43.18   1010.4
00:58:30    25     72     286       8      9    0.00        42.71   1010.4
00:59:30    25     72     281       7      8    0.00        42.51   1010.4
01:00:30    25     72     290       4      5    0.00        42.01   1010.4
01:01:30    25     73     303       5      6    0.00        41.97   1010.3
01:02:30    25     73     298       3      5    0.00        54.32   1010.3
01:03:30    25     73     289       6      7    0.00        99.86   1010.3
01:04:30    25     73     295       7      9    0.00       155.99   1010.3
01:05:30    25     73     316       4      7    0.00       193.26   1010.3
01:06:30    25     73     290       6      7    0.00       198.47   1010.3
01:07:30    25     72     291       5      8    0.00       197.29   1010.3
01:08:30    25     72     295       6      9    0.00       195.34   1010.3
01:09:30    25     72     289       4      6    0.00       193.29   1010.3
01:10:30    25     72     316       3      4    0.00       191.82   1010.2
01:11:30    25     72     296       2      3    0.00       190.27   1010.2
01:12:30    25     73     306       2      4    0.00       187.44   1010.2
01:13:30    25     73     285       4      5    0.00       183.95   1010.2
01:14:30    24     73     284       6      8    0.00       181.06   1010.2
01:15:30    24     73     286       6      7    0.00       178.43   1010.2
01:16:30    24     73     319       6      7    0.00       175.98   1010.2
01:17:30    24     73     337       4      5    0.00       173.12   1010.2
01:18:30    25     73     272       6      7    0.00       169.79   1010.2
01:19:30    24     73     275       7      8    0.00       167.16   1010.2
01:20:30    25     73     285       5      6    0.00       164.68   1010.2
01:21:30    25     73     290       6      7    0.00       161.85   1010.2
01:22:30    25     73     300       5      6    0.00       159.43   1010.2
01:23:30    25     72     287       5      7    0.00       157.04   1010.2
01:24:30    25     72     288       5      6    0.00       154.35   1010.2
01:25:30    25     72     289       6      8    0.00       151.53   1010.2
01:26:30    25     72     294       5      6    0.00       149.17   1010.2
01:27:30    25     72     307       4      5    0.00       146.92   1010.2
01:28:30    25     72     288       3      3    0.00       144.20   1010.2
01:29:30    25     73     306       3      4    0.00       142.04   1010.2
01:30:30    25     73     285       5      7    0.00       139.59   1010.2
01:31:30    24     73     306       4      6    0.00       137.30   1010.2
01:32:30    24     73     275       5      6    0.00       135.28   1010.2
01:33:30    24     73     284       5      6    0.00       133.10   1010.2
01:34:30    24     73     278       7      8    0.00       130.88   1010.2
01:35:30    25     73     281       5      6    0.00       128.93   1010.2
01:36:30    24     73     281       7      7    0.00       127.04   1010.2
01:37:30    25     73     307       5      6    0.00       124.76   1010.2
01:38:30    25     73     280       6      7    0.00       122.33   1010.2
01:39:30    25     72     282       6      7    0.00       119.88   1010.2
01:40:30    25     72     278       6      7    0.00       117.63   1010.3
01:41:30    25     72     294       6      7    0.00       115.37   1010.3
01:42:30    25     72     281       4      6    0.00       112.98   1010.3
01:43:30    26     72     281       5      6    0.00       110.06   1010.3
01:44:30    26     72     282       6      7    0.00       106.86   1010.3
01:45:30    26     72     291       7      8    0.00       104.14   1010.2
01:46:30    26     72     304       8      8    0.00       101.85   1010.2
01:47:30    26     72     292       5      7    0.00        99.70   1010.2
01:48:30    27     72     295       6      8    0.00        97.31   1010.2
01:49:30    27     72     296       4      5    0.00        94.86   1010.2
01:50:30    27     72     304       5      7    0.00        89.37   1010.2
01:51:30    26     72     312       6      7    0.00        72.12   1010.2
01:52:30    27     71     317       6      7    0.00        50.32   1010.2
01:53:30    27     71     301       6      6    0.00        33.37   1010.2
01:54:30    27     71     293       5      6    0.00        28.96   1010.2
01:55:30    27     71     299       6      7    0.00        27.82   1010.2
01:56:30    27     71     299       6      6    0.00        26.77   1010.2
01:57:30    27     71     291       5      6    0.00        25.97   1010.2
01:58:30    28     71     297       6      6    0.00        25.36   1010.1
01:59:30    28     71     293       5      7    0.00        24.76   1010.2
02:00:30    28     71     291       5      7    0.00        24.25   1010.1
02:01:30    28     71     294       5      7    0.00        24.08   1010.1
02:02:30    28     71     313       3      6    0.00        24.02   1010.1
02:03:30    28     71     312       2      3    0.00        23.95   1010.1
02:04:30    27     71     335       3      3    0.00        23.78   1010.1
02:05:30    27     71     305       1      3    0.00        23.34   1010.1
02:06:30    27     71     313       3      5    0.00        23.18   1010.1
02:07:30    27     71     304       6      7    0.00        22.81   1010.1
02:08:30    28     71     290       5      7    0.00        22.81   1010.1
02:09:30    28     71     306       3      5    0.00        22.67   1010.1
02:10:30    28     71     302       3      4    0.00        22.40   1010.1
02:11:30    28     71     310       1      4    0.00        22.10   1010.1
