Sep = ,
"Delimiter = ,"
AethLabs
Device ID = AE51-S5-803-1309
Application version = 2.2.3.0
Flow = 98 ml/min
Timebase = 300 s
Start date = 2015/04/21
Start time = 12:55:00
Original date format = yyyy/MM/dd
Original time format = hh:mm:ss
Flow units = ml/min
PCB temp units = deg C
Battery units = %
BC units = ng/m^3

Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC

2015/04/21,12:55:00,808430,898701,"-10.586",99,35,0,100,
2015/04/21,13:00:00,808027,898034,"-10.561",98,36,0,100,283
2015/04/21,13:05:00,807668,897314,"-10.525",99,36,0,100,410
2015/04/21,13:10:00,807372,896559,"-10.478",99,37,0,100,545
2015/04/21,13:15:00,807188,895594,"-10.393",99,37,0,100,974
2015/04/21,13:20:00,806991,895013,"-10.353",98,37,0,100,469
2015/04/21,13:25:00,806829,894504,"-10.316",100,37,0,100,418
2015/04/21,13:30:00,806688,894012,"-10.278",99,38,0,100,431
2015/04/21,13:35:00,806595,893634,"-10.247",99,38,0,100,353
2015/04/21,13:40:00,806501,893199,"-10.210",99,38,0,100,425
2015/04/21,13:45:00,806541,892738,"-10.154",99,37,0,100,649
2015/04/21,13:50:00,806713,892349,"-10.089",99,37,0,100,745
2015/04/21,13:55:00,806836,892084,"-10.044",99,37,0,100,516
2015/04/21,14:00:00,806896,891755,"-10.000",99,37,0,100,509
2015/04/21,14:05:00,806982,891387,"-9.948",99,37,0,100,596
2015/04/21,14:10:00,807136,891003,"-9.886",99,37,0,100,713
2015/04/21,14:15:00,807223,890680,"-9.839",99,37,0,100,540
2015/04/21,14:20:00,807241,890375,"-9.802",99,37,0,100,419
2015/04/21,14:25:00,807110,890032,"-9.780",99,37,0,100,256
2015/04/21,14:30:00,806972,889713,"-9.761",99,37,0,100,215
2015/04/21,14:35:00,806825,889482,"-9.753",98,37,0,100,90
2015/04/21,14:40:00,806763,889158,"-9.725",99,37,0,100,330
2015/04/21,14:45:00,806728,888799,"-9.688",99,37,0,100,414
2015/04/21,14:50:00,806660,888328,"-9.644",99,37,0,100,512
2015/04/21,14:55:00,806492,887857,"-9.612",99,37,0,100,370
2015/04/21,15:00:00,806326,887526,"-9.595",99,38,0,100,192
2015/04/21,15:05:00,806196,887087,"-9.562",99,38,0,100,383
2015/04/21,15:10:00,806239,886763,"-9.520",98,38,0,100,485
2015/04/21,15:15:00,806140,886419,"-9.493",99,37,0,100,304
2015/04/21,15:20:00,806296,886195,"-9.449",99,37,0,100,512
2015/04/21,15:25:00,806343,886024,"-9.423",98,36,0,100,291
2015/04/21,15:30:00,806925,886202,"-9.371",100,36,0,100,591
2015/04/21,15:35:00,806999,885988,"-9.338",99,35,0,100,382
2015/04/21,15:40:00,807162,885803,"-9.297",98,35,0,100,476
2015/04/21,15:45:00,807357,885558,"-9.245",99,35,0,100,595
2015/04/21,15:50:00,807672,885409,"-9.189",98,34,0,100,647
2015/04/21,15:55:00,807775,885149,"-9.147",99,34,0,100,483
2015/04/21,16:00:00,807915,884897,"-9.101",99,34,0,100,526
2015/04/21,16:05:00,807956,884610,"-9.064",99,34,0,100,430
2015/04/21,16:10:00,808017,884374,"-9.030",98,34,0,100,397
2015/04/21,16:15:00,807983,884068,"-8.999",99,33,0,100,349
2015/04/21,16:20:00,808139,883895,"-8.960",99,33,0,100,446
2015/04/21,16:25:00,808257,883703,"-8.924",99,33,0,100,417
2015/04/21,16:30:00,808446,883435,"-8.870",99,33,0,100,616
2015/04/21,16:35:00,808601,883152,"-8.819",98,32,0,100,594
2015/04/21,16:40:00,808731,882967,"-8.782",99,32,0,100,425
2015/04/21,16:45:00,808889,882775,"-8.741",99,32,0,100,474
2015/04/21,16:50:00,808987,882519,"-8.700",99,32,0,100,472
2015/04/21,16:55:00,809090,882327,"-8.665",99,31,0,100,396
2015/04/21,17:00:00,809138,882115,"-8.635",99,31,0,100,344
2015/04/21,17:05:00,809136,881865,"-8.607",99,31,0,100,322
2015/04/21,17:10:00,809161,881744,"-8.590",99,31,0,100,193
2015/04/21,17:15:00,809111,881556,"-8.575",99,31,0,100,174
2015/04/21,17:20:00,809070,881365,"-8.559",99,31,0,100,190
2015/04/21,17:25:00,809039,881208,"-8.545",99,31,0,100,160
2015/04/21,17:30:00,809033,881017,"-8.524",99,31,0,100,240
2015/04/21,17:35:00,809173,880834,"-8.486",99,31,0,100,437
2015/04/21,17:40:00,809164,880627,"-8.463",99,31,0,100,257
2015/04/21,17:45:00,809188,880421,"-8.437",99,31,0,100,302
2015/04/21,17:50:00,809251,880285,"-8.414",99,31,0,100,267
2015/04/21,17:55:00,809344,880061,"-8.377",99,31,0,100,424
2015/04/21,18:00:00,809435,879866,"-8.343",99,30,0,100,383
