<head/><TITLE>ATG rooftop data for 26 April 2015</TITLE>
<H2>ATG rooftop data for 26 April 2015</H2>

THIS DATA IS SUBJECT TO ERRORS.

All times are <a href=/utc.html>UTC</a>.
<p>
<PRE>
			Wind 
  Time	  RHum 	 Temp	Direct	Speed	Gust	Rain	Radiation    Pres
	   (%)    (F)           (knot)  (knot) (inch)   (Watts m-2) (mbar)

00:00:32    43     56     216       5      5    0.00       475.34   1016.4
00:01:32    44     56     217       5      7    0.00       468.71   1016.4
00:02:32    43     56     214       6      6    0.00       465.04   1016.5
00:03:32    43     56     232       4      4    0.00       465.98   1016.5
00:04:32    43     56     236       4      4    0.00       467.73   1016.4
00:05:32    43     56     229       5      5    0.00       467.43   1016.4
00:06:32    44     55     237       4      5    0.00       463.46   1016.4
00:07:32    44     55     214       6      8    0.00       459.68   1016.4
00:08:32    45     55     205       6      7    0.00       454.36   1016.4
00:09:32    45     55     198       5      6    0.00       446.12   1016.4
00:10:32    45     55     212       6      7    0.00       439.85   1016.4
00:11:32    45     55     238       7      8    0.00       436.08   1016.4
00:12:32    44     54     270       5      6    0.00       436.08   1016.4
00:13:32    44     54     291       4      5    0.00       438.10   1016.4
00:14:32    44     55     262       3      5    0.00       438.84   1016.4
00:15:32    45     55     228       5      7    0.00       435.10   1016.4
00:16:32    46     55     200       5      6    0.00       428.10   1016.4
00:17:32    46     55     219       5      7    0.00       422.78   1016.4
00:18:32    45     55     213       5      6    0.00       418.60   1016.4
00:19:32    45     55     177       6      7    0.00       414.49   1016.4
00:20:32    46     55     196       6      7    0.00       412.68   1016.4
00:21:32    47     54     220       8      9    0.00       408.84   1016.4
00:22:32    47     54     218       7      9    0.00       407.83   1016.4
00:23:32    48     54     223       7      8    0.00       408.67   1016.4
00:24:32    48     54     222       8      9    0.00       405.97   1016.4
00:25:32    48     54     225       7      8    0.00       400.18   1016.4
00:26:32    48     54     236       6      7    0.00       398.06   1016.4
00:27:32    48     54     248       5      5    0.00       397.93   1016.4
00:28:32    47     55     235       5      7    0.00       388.23   1016.4
00:29:32    48     55     220       6      7    0.00       376.89   1016.4
00:30:32    48     55     222       6      7    0.00       346.72   1016.4
00:31:32    48     54     220       7     10    0.00       292.76   1016.4
00:32:32    49     54     209       7      8    0.00       299.83   1016.4
00:33:32    49     54     229       8      8    0.00       316.80   1016.4
00:34:32    50     54     254       6      6    0.00       245.46   1016.4
00:35:32    49     54     229       7      7    0.00       185.33   1016.4
00:36:32    49     55     278       5      6    0.00       139.88   1016.4
00:37:32    48     55     248       5      6    0.00       347.60   1016.4
00:38:32    48     55     240       5      6    0.00       389.01   1016.5
00:39:32    48     55     227       5      6    0.00       239.46   1016.5
00:40:32    47     55     249       6      8    0.00       119.92   1016.5
00:41:32    47     55     245       5      6    0.00       162.07   1016.5
00:42:32    48     55     263       6      9    0.00       296.66   1016.6
00:43:32    48     55     252       7      7    0.00       354.40   1016.6
00:44:32    49     55     247       5      7    0.00       344.33   1016.6
00:45:32    48     55     246       8     10    0.00       139.61   1016.6
00:46:32    48     55     263       8     10    0.00       206.00   1016.6
00:47:32    49     54     240       6      7    0.00       279.36   1016.6
00:48:32    50     54     234       8      9    0.00       207.01   1016.7
00:49:32    51     54     255       7     10    0.00       151.60   1016.7
00:50:32    50     54     281       7      9    0.00       123.82   1016.7
00:51:32    50     55     241       6      7    0.00       110.96   1016.7
00:52:32    49     55     233       6      8    0.00        99.99   1016.7
00:53:32    49     55     246       7      9    0.00        92.95   1016.7
00:54:32    50     54     233       7      8    0.00        88.88   1016.7
00:55:32    50     54     225       7      8    0.00        87.56   1016.7
00:56:32    51     54     237       7      9    0.00        88.31   1016.7
00:57:32    51     54     215       6      7    0.00        86.92   1016.7
00:58:32    51     54     222       6      8    0.00        83.79   1016.7
00:59:32    51     54     220       7      9    0.00        82.04   1016.7
01:00:32    51     54     216       8     10    0.00        81.81   1016.7
01:01:32    51     54     220       8     10    0.00        77.90   1016.7
01:02:32    51     54     228       9     10    0.00        74.77   1016.7
01:03:32    51     54     228       8      9    0.00        72.28   1016.7
01:04:32    51     54     233       7      9    0.00        69.96   1016.7
01:05:32    51     54     250       6      7    0.00        67.23   1016.7
01:06:32    51     54     227       7      8    0.00        64.84   1016.7
01:07:32    51     54     230       7      8    0.00        62.99   1016.7
01:08:32    51     54     224       9     10    0.00        62.05   1016.7
01:09:32    52     53     228       9      9    0.00        61.20   1016.7
01:10:32    52     53     235       8      9    0.00        71.17   1016.8
01:11:32    51     53     267       7      8    0.00       116.89   1016.8
01:12:32    50     54     281       7      8    0.00       176.74   1016.8
01:13:32    48     54     274       8      9    0.00       218.93   1016.8
01:14:32    47     54     270       9     11    0.00       225.59   1016.8
01:15:32    47     54     280       7      9    0.00       222.90   1016.8
01:16:32    47     54     235       4      6    0.00       219.74   1016.8
01:17:32    47     54     251       6      7    0.00       216.13   1016.8
01:18:32    47     54     295       6      8    0.00       212.63   1016.8
01:19:32    46     55     255       7      9    0.00       209.20   1016.9
01:20:32    46     55     261       7      9    0.00       206.64   1016.9
01:21:32    46     55     260       7      8    0.00       204.89   1016.9
01:22:32    46     55     268       8      9    0.00       203.54   1016.9
01:23:32    47     55     266       6      7    0.00       201.52   1016.9
01:24:32    46     55     271       7      9    0.00       198.63   1016.9
01:25:32    46     55     263       7      8    0.00       195.63   1017.0
01:26:32    45     55     285       7     10    0.00       193.85   1016.9
01:27:32    45     55     245       8      9    0.00       191.63   1016.9
01:28:32    46     54     253       6      7    0.00       189.27   1016.9
01:29:32    46     55     265       7      9    0.00       185.47   1017.0
01:30:32    46     55     278       6      6    0.00       181.70   1017.0
01:31:32    45     55     292       6      7    0.00       177.86   1017.0
01:32:32    44     55     304       6      7    0.00       173.78   1017.0
01:33:32    44     55     333       5      7    0.00       169.24   1017.0
01:34:32    44     55     358       4      6    0.00       165.20   1017.0
01:35:32    44     55     342       6      8    0.00       162.07   1017.0
01:36:32    44     55     347       7      7    0.00       158.54   1017.0
01:37:32    44     55     319       6      7    0.00       155.51   1017.0
01:38:32    44     55     308       5      7    0.00       152.14   1017.0
01:39:32    44     55     292       6      7    0.00       148.67   1017.0
01:40:32    43     55     310       6      8    0.00       145.78   1017.0
01:41:32    43     55     302       6      6    0.00       142.95   1017.0
01:42:32    44     55     317       6      7    0.00       139.82   1017.0
01:43:32    45     55     307       5      7    0.00       137.06   1017.0
01:44:32    45     54     298       6      9    0.00       134.43   1017.0
01:45:32    45     54     305       6      7    0.00       131.77   1017.0
01:46:32    45     54     313       5      7    0.00       129.08   1017.0
01:47:32    45     54     295       6      7    0.00       125.98   1017.0
01:48:32    45     54     287       8      9    0.00       114.10   1017.0
01:49:32    45     54     289       7      8    0.00        81.64   1017.0
01:50:32    46     54     322       6      7    0.00        47.98   1017.0
01:51:32    46     54     298       4      6    0.00        34.71   1017.0
01:52:32    46     54     286       5      6    0.00        33.06   1017.0
01:53:32    46     54     315       4      6    0.00        31.92   1017.0
01:54:32    45     55     339       3      4    0.00        30.84   1017.0
01:55:32     0     55     269       3      6    0.00        29.93   1017.0
01:56:32    45     55     273       7      7    0.00        29.12   1017.1
01:57:32    45     55     264       5      5    0.00        28.75   1017.1
01:58:32    45     55     284       6      7    0.00        28.32   1017.1
01:59:32    45     55     285       7      8    0.00        28.05   1017.1
02:00:32    46     54     271       6      7    0.00        27.54   1017.1
02:01:32    46     54     263       6      7    0.00        27.48   1017.1
02:02:32    46     54     275       7      8    0.00        27.34   1017.2
02:03:32    47     54     286       7      8    0.00        27.14   1017.2
02:04:32    47     54     262       5      6    0.00        26.77   1017.2
02:05:32    47     54     266       6      8    0.00        26.46   1017.2
02:06:32    47     54     276       7      8    0.00        26.26   1017.2
02:07:32    47     54     271       9     10    0.00        26.26   1017.2
02:08:32    46     54     271       8      9    0.00        26.26   1017.2
02:09:32    47     54     274       6      7    0.00        26.23   1017.2
02:10:32    47     54     265       6      9    0.00        25.83   1017.2
02:11:32    47     54     279       9     10    0.00        25.49   1017.3
