<head/><TITLE>ATG rooftop data for 23 April 2015</TITLE>
<H2>ATG rooftop data for 23 April 2015</H2>

THIS DATA IS SUBJECT TO ERRORS.

All times are <a href=/utc.html>UTC</a>.
<p>
<PRE>
			Wind 
  Time	  RHum 	 Temp	Direct	Speed	Gust	Rain	Radiation    Pres
	   (%)    (F)           (knot)  (knot) (inch)   (Watts m-2) (mbar)

00:00:31    32     57      79       3      4    0.00        88.87   1019.5
00:01:31    31     58      92       4      4    0.00        86.98   1019.5
00:02:31    31     58      86       2      3    0.00        89.44   1019.5
00:03:31    30     58      67       4      5    0.00        90.55   1019.4
00:04:31    30     58      39       2      3    0.00        92.41   1019.4
00:05:31    29     58      89       4      5    0.00       104.93   1019.4
00:06:31    30     58      94       3      5    0.00       276.41   1019.4
00:07:31    29     58     103       5      7    0.00       177.04   1019.4
00:08:31    30     57      95       5      5    0.00       105.47   1019.4
00:09:31    30     57      91       6      6    0.00       104.70   1019.3
00:10:31    31     57      97       5      6    0.00       329.30   1019.3
00:11:31    31     57      99       6      7    0.00       334.86   1019.3
00:12:31    31     57      97       5      6    0.00       343.58   1019.3
00:13:31    30     57      88       5      7    0.00       336.88   1019.3
00:14:31    30     57      73       5      6    0.00       340.62   1019.2
00:15:31    30     57      89       5      6    0.00       340.55   1019.2
00:16:31    29     57      95       4      6    0.00       341.06   1019.2
00:17:31    29     57      89       4      4    0.00       338.60   1019.2
00:18:31    29     57      71       3      4    0.00       333.58   1019.1
00:19:31    30     57      98       4      6    0.00       328.80   1019.1
00:20:31    30     57     107       5      6    0.00       327.29   1019.1
00:21:31    30     57     109       5      6    0.00       326.95   1019.1
00:22:31    30     57     113       4      5    0.00       326.45   1019.1
00:23:31    31     57      82       2      3    0.00       323.83   1019.1
00:24:31    30     57      91       4      5    0.00       322.04   1019.1
00:25:31    30     57     101       5      6    0.00       317.73   1019.0
00:26:31    31     57      93       4      5    0.00       313.86   1019.0
00:27:31    30     57      63       5      6    0.00       302.89   1018.9
00:28:31    30     57      49       6      6    0.00       284.20   1019.0
00:29:31    30     57      59       5      6    0.00       303.39   1019.0
00:30:31    30     57      62       5      6    0.00       303.06   1019.0
00:31:31    30     57      52       5      6    0.00       300.94   1019.0
00:32:31    30     57      49       5      6    0.00       298.65   1018.9
00:33:31    31     57      59       4      5    0.00       297.10   1018.9
00:34:31    31     57      39       5      5    0.00       294.98   1018.9
00:35:31    31     57      60       5      6    0.00       294.07   1018.9
00:36:31    31     57     101       5      6    0.00       292.99   1018.9
00:37:31    30     57      84       5      6    0.00       290.84   1018.9
00:38:31    30     57     101       4      5    0.00       289.52   1018.9
00:39:31    30     57      96       4      5    0.00       289.69   1018.9
00:40:31    31     57      87       3      3    0.00       235.12   1018.9
00:41:31    31     56      40       2      3    0.00       283.46   1018.8
00:42:31    31     57      52       3      3    0.00       250.88   1018.8
00:43:31    31     57      81       4      5    0.00       114.73   1018.8
00:44:31    31     57      63       4      4    0.00       109.75   1018.8
00:45:31    31     57     111       4      4    0.00       120.76   1018.8
00:46:31    31     57     114       4      5    0.00       131.77   1018.8
00:47:31    30     57     101       4      5    0.00       145.84   1018.8
00:48:31    30     57     108       3      4    0.00       148.36   1018.8
00:49:31    30     57     108       3      4    0.00       146.88   1018.8
00:50:31    30     57      96       4      4    0.00       147.39   1018.8
00:51:31    31     57      82       3      4    0.00       144.86   1018.7
00:52:31    31     57      90       4      5    0.00       140.02   1018.7
00:53:31    30     57      69       2      4    0.00       135.30   1018.7
00:54:31    30     57      60       2      3    0.00       131.67   1018.7
00:55:31    31     57     284       1      2    0.00       129.38   1018.7
00:56:31    32     57       4       0      0    0.00       129.17   1018.7
00:57:31    32     58     300       0      0    0.00       128.10   1018.7
00:58:31    33     58     324       4      6    0.00       128.74   1018.7
00:59:31    34     58     322       4      5    0.00       127.66   1018.6
01:00:31    34     58     268       4      6    0.00       125.47   1018.6
01:01:31    34     58     276       5      6    0.00       125.34   1018.6
01:02:31    35     59     262       5      6    0.00       126.28   1018.6
01:03:31    37     58     287       5      6    0.00       125.41   1018.6
01:04:31    37     58     279       5      6    0.00       124.19   1018.6
01:05:31    37     58     277       5      6    0.00       127.93   1018.6
01:06:31    38     58     288       6      7    0.00       152.30   1018.6
01:07:31    39     58     282       8      9    0.00       188.46   1018.5
01:08:31    38     58     333       5      9    0.00       179.14   1018.5
01:09:31    37     58     312       4      5    0.00       148.20   1018.5
01:10:31    36     58     304       5      7    0.00       129.44   1018.5
01:11:31    35     58     332       5      7    0.00       148.47   1018.5
01:12:31    37     58     319       7      8    0.00       137.39   1018.5
01:13:31    38     58     302       6      8    0.00       108.98   1018.5
01:14:31    38     58     308       6      8    0.00        98.14   1018.5
01:15:31    37     58     300       6      8    0.00        94.43   1018.4
01:16:31    36     57     295       7      8    0.00        92.88   1018.5
01:17:31    36     57     298       6      7    0.00        92.21   1018.5
01:18:31    35     57     289       7      8    0.00        93.96   1018.5
01:19:31    36     57     298       5      6    0.00        94.84   1018.5
01:20:31    39     57     297      10     11    0.00        94.47   1018.5
01:21:31    41     57     307       8     11    0.00       108.67   1018.5
01:22:31    42     56     302       8      9    0.00        92.01   1018.5
01:23:31    43     56     292       8      9    0.00        90.56   1018.5
01:24:31    44     56     284       7      8    0.00        90.39   1018.5
01:25:31    44     56     274       7      9    0.00        91.64   1018.4
01:26:31    45     56     275       5      8    0.00       100.19   1018.4
01:27:31    45     55     301       5      6    0.00        92.61   1018.5
01:28:31    45     56     306       6      6    0.00        91.40   1018.5
01:29:31    45     56     303       6      7    0.00        89.79   1018.5
01:30:31    44     56      13       3      4    0.00        89.72   1018.5
01:31:31    43     56     330       4      5    0.00       107.77   1018.5
01:32:31    43     56     324       3      6    0.00        87.56   1018.5
01:33:31    42     56     316       5      8    0.00        82.62   1018.5
01:34:31    42     56     321       6      8    0.00        84.94   1018.5
01:35:31    42     56     335       6      8    0.00        92.75   1018.5
01:36:31    43     56     299       7      9    0.00       107.39   1018.5
01:37:31    43     56     305       8     11    0.00        88.64   1018.5
01:38:31    44     56     314       5     10    0.00        89.52   1018.5
01:39:31    44     56     308       4      5    0.00        89.65   1018.5
01:40:31    45     56     337       5      6    0.00        82.18   1018.4
01:41:31    44     56     346       7      9    0.00        78.31   1018.4
01:42:31    45     56     339       5      7    0.00        72.48   1018.4
01:43:31    45     56     346       6      7    0.00        73.06   1018.4
01:44:31    44     56     347       7      8    0.00        70.50   1018.4
01:45:31    45     56     334       3      6    0.00        83.36   1018.4
01:46:31    45     56     334       4      8    0.00        99.72   1018.3
01:47:31    45     56     325       6      8    0.00        92.25   1018.3
01:48:31    46     56     304       3      4    0.00       113.86   1018.3
01:49:31    45     56     312       8      9    0.00       112.58   1018.2
01:50:31    46     56     304       6     10    0.00       104.74   1018.2
01:51:31    47     56     300       7      8    0.00        89.55   1018.2
01:52:31    48     56     327       5      7    0.00        77.37   1018.1
01:53:31    48     56     346       4      5    0.00        72.25   1018.1
01:54:31    47     56     319       3      5    0.00        69.29   1018.1
01:55:31    48     56     314       4      6    0.00        66.53   1018.1
01:56:31    47     56       7       2      6    0.00        62.22   1018.0
01:57:31    46     56     352       3      4    0.00        58.95   1018.0
01:58:31    46     56     334       3      5    0.00        57.40   1018.0
01:59:31    45     56     360       4      6    0.00        57.20   1018.0
02:00:31    44     56     359       5      6    0.00        58.41   1018.0
02:01:31    42     56     344       8     11    0.00        58.58   1018.0
02:02:31    42     56     351       9     10    0.00        57.74   1018.0
02:03:31    43     55       0       5      7    0.00        56.19   1018.0
02:04:31    43     55     334       7      9    0.00        53.97   1018.0
02:05:31    44     55     335       7      9    0.00        52.49   1018.0
02:06:31    44     55     322       8     10    0.00        50.74   1018.0
02:07:31    45     55     311       7      8    0.00        49.32   1018.0
02:08:31    45     55     350       6      8    0.00        47.98   1018.0
02:09:31    45     55     328       6      9    0.00        47.37   1018.0
02:10:31    45     55     343       8     11    0.00        47.44   1018.0
02:11:31    46     55     335       7     10    0.00        47.24   1017.9
